x,y,area
128.0933371,35.09933851,2883
128.0931574,35.10000273,3164
128.0928976,35.09941685,629
128.0934465,35.09954854,1564
128.0936974,35.09989642,1041
128.0939278,35.09977699,1742
128.0931403,35.10040803,1240
128.0925553,35.10074831,1511
128.0924342,35.1009816,419
128.092538,35.10163744,58
128.0929856,35.09951534,624
128.0928638,35.09928553,785
128.0927955,35.10023831,1511
128.0925927,35.1010449,2053
128.0926265,35.10157094,249
128.0924774,35.10143482,733
128.0922734,35.10135554,89
128.0925037,35.10168709,37
128.0922531,35.10136039,84
128.0923852,35.10154468,54
128.0949989,35.10335612,2294
128.0963231,35.10116955,2364
128.0963218,35.09622938,491
128.0961965,35.09637256,387
128.0965261,35.09648869,803
128.0964426,35.0962909,810
128.0965704,35.09610936,124
128.0951195,35.09971847,1855
128.0949734,35.09943108,1610
128.0954489,35.10038514,800
128.0959384,35.10129063,1802
128.0957551,35.10090526,1240
128.0953444,35.10143973,2443
128.09512,35.10104884,572
128.0931316,35.10227318,1497
128.6495522,36.93694609,3015.9
128.649327,36.93686232,1002.6
128.6393228,36.96697794,2134
128.6459207,36.94330517,2860
128.6033714,36.90357648,988
128.6002421,36.89873723,2627.9
128.6020806,36.90225009,861
128.6021639,36.90253219,620
128.6028572,36.90002386,1136
128.602828,36.90023834,1341
128.6008612,36.89268987,3929.1
128.5993461,36.89221303,4498.3
128.6005397,36.89218544,1495
128.6005326,36.89225816,2451.5
128.6011075,36.89302097,3926
128.6031945,36.85112318,179
128.6035569,36.85104408,840
128.602961,36.84897639,1987
128.6025057,36.84899752,1028
128.6140472,36.83719979,1299
128.6016171,36.85556416,2280
128.6160263,36.83793041,1841
128.6050834,36.84421171,1131
128.5992016,36.83727974,2878
128.598362,36.84028732,618
128.5727869,36.81268689,6116
128.6826673,36.88352071,767
128.6823099,36.88368549,1947
128.682372,36.88388434,2017
128.6820363,36.88397842,2086
128.6828116,36.88360023,1312
128.5863151,36.71912276,1935
128.6120226,36.73303865,2359
128.4485098,35.1264517,2502
128.4480048,35.1476987,234
128.4489023,35.1270175,2030
128.4462061,35.1487645,674
128.4565681,35.1410437,600
128.4747771,35.1520929,684
128.4588423,35.1400219,2023
128.4585548,35.1408129,2048
128.4562839,35.1410906,406
128.4469646,35.1484037,985
128.4476821,35.1479234,805
128.4490251,35.1271958,1526
128.4479705,35.1297861,919
128.4446062,35.1358183,300
128.4596868,35.141786,89
128.4474712,35.1480588,637
128.4473814,35.1299012,820
128.4497883,35.1263698,2544
128.4465743,35.1277515,1469
128.4487247,35.1268002,1270
128.4470618,35.1269342,1104
128.4475543,35.12886052,728
128.4471472,35.1296926,543
128.4469107,35.1512111,651
128.4464546,35.1486872,457
128.4461696,35.1521439,922
128.4466079,35.1486154,883
128.4471376,35.1482967,883
128.4459032,35.1529441,598
128.4481922,35.1278996,1257
128.447134,35.1284008,2213
128.4474111,35.1297893,684
128.4491934,35.1274311,2519
128.4476046,35.1285275,709
128.4497811,35.1266231,1809
128.4499982,35.1466331,1360
128.4487979,35.1268951,1330
128.4475387,35.1291344,1188
128.4463786,35.1279441,1097
128.4496994,35.1262533,507
128.4477167,35.13019,645
128.4472021,35.1264762,2725
128.4475937,35.1287193,818
128.4470069,35.1290212,1211
128.4485187,35.12773972,553
128.4450948,35.1353555,1921
128.4446707,35.13614,2301
128.444652,35.1343987,2512
128.4463084,35.1347352,2225
128.4464905,35.1343762,714
128.4469463,35.1338997,5954
128.4455499,35.1327526,1874
128.444915,35.1325446,1898
128.4460738,35.1332607,1204
128.4467428,35.1329019,1679
128.4582967,35.1425519,1127
128.4461042,35.1329567,1631
128.4469317,35.1327574,1755
128.4456496,35.1319401,1372
128.4450067,35.1314247,1299
128.445036,35.1308253,2010
128.4453565,35.1312654,1977
128.4471562,35.1314665,780
128.4476845,35.1292491,2423
128.4472927,35.1301433,1761
128.4474656,35.1296482,1251
128.4475392,35.1290012,1362
128.4470518,35.1287137,2497
128.4479004,35.1302772,362
128.4476939,35.1275555,195
128.4492224,35.1276455,880
128.4461064,35.1263973,1993
128.4460001,35.1266823,2172
128.4457659,35.12687852,2101
128.4464622,35.1278343,1181
128.4746623,35.15252022,321
128.4747063,35.15242545,658
128.4462575,35.1525857,754
128.4465301,35.1520829,1770
128.4389667,35.1539009,1983
128.4379043,35.15347634,673
128.4468892,35.1514293,1425
128.4466404,35.1502223,2499
128.4481689,35.1504381,1994
128.4343425,35.1558013,2378
128.4503623,35.1485857,1821
128.4328514,35.15755467,668
128.4301619,35.1564409,886
128.4317678,35.1576722,2430
128.4256248,35.1603414,2685
128.43058,35.1578379,3332
128.4612758,35.136704,1545
128.4603426,35.1414319,1246
128.4604029,35.1415731,671
128.4601838,35.1413388,1308
128.4490603,35.12789103,783
128.4657942,35.1361615,1612
128.4588589,35.139228,2070
128.4535003,35.1423691,2415
128.4511756,35.145854,1115
128.439952,35.1541901,1137
128.4390432,35.1536594,1660
128.4461294,35.152441,757
128.4554658,35.1402995,1190
128.4563351,35.1401195,965
128.4468731,35.1500437,2654
128.4458067,35.1526597,618
128.4460699,35.1519618,1100
128.4553627,35.14139,903
128.4482084,35.127406,730
128.4469779,35.1270991,1003
128.4470104,35.1270168,915
128.4748078,35.1522744,195
128.4655209,35.1362271,1939
128.4582794,35.1408102,1997
128.4460536,35.1488747,265
128.4463462,35.1487173,312
128.4470933,35.1277924,1103
128.4516872,35.1475708,2651
128.4478847,35.1477828,467
128.4458396,35.1489514,120
128.4444374,35.1517754,2766
128.4441946,35.1528594,1917
128.4442434,35.1532866,836
128.4467845,35.1485086,1103
128.4489623,35.1271206,503
128.4483171,35.1281548,2614
128.4468899,35.1292842,475
128.4470431,35.1295906,526
128.4472471,35.1281411,671
128.4484313,35.1474022,582
128.4477051,35.1272621,2254
128.4448594,35.1357102,1330
128.4458079,35.1528425,598
128.4460673,35.1510914,2407
128.44772,35.1305626,2592
128.4474538,35.1313078,3051
128.4473021,35.1481774,776
128.4467124,35.1277436,773
128.4469068,35.1272698,3022
128.4453901,35.1317472,1041
128.4481829,35.1475671,636
128.4452184,35.1333115,675
128.4445298,35.1352885,843
128.4486266,35.1266532,2603
128.4554853,35.1414237,1570
128.4538278,35.1430866,899
128.4464267,35.1290356,838
128.4460994,35.1353773,1418
128.4458525,35.1317557,1272
128.4569046,35.1396891,671
128.4478101,35.1280816,770
128.4598276,35.1416844,474
128.446201,35.1528761,281
128.4480287,35.1277198,2474
128.4562442,35.1407901,2128
128.4813211,35.1470339,668
128.4795358,35.1511676,1967
128.4784853,35.1507974,2212
128.4807519,35.14693,1610
128.4794077,35.1481271,1000
128.4781225,35.1504159,1371
128.4794273,35.1501548,1808
128.4779836,35.1515052,1631
128.4787425,35.1498101,883
128.4793947,35.1522415,1554
128.4791477,35.1526717,3778
128.4872429,35.1637656,1289
128.4811236,35.1562144,456
128.4797572,35.1539349,621
128.4764744,35.1483905,291
128.4807752,35.1471599,2740
128.4782489,35.1480426,2039
128.478651,35.1471947,2265
128.4754881,35.1519787,638
128.4902495,35.1664077,2026
128.487155,35.1635015,1296
128.4827284,35.15937875,641
128.475849,35.1518651,1167
128.4817817,35.1578109,440
128.4787207,35.1500541,502
128.4761004,35.1518241,496
128.4813539,35.1562916,595
128.4777282,35.1483285,1556
128.4769891,35.1484339,1743
128.4906517,35.167815,740
128.479436,35.1506614,53
128.4785827,35.1573512,1289
128.4814228,35.1556265,2460
128.4808868,35.1555875,1104
128.4751716,35.1523102,998
128.4760772,35.1488385,1028
128.4784329,35.1476612,839
128.479436,35.1564573,466
128.4772928,35.1490228,1322
128.480859,35.1474776,783
128.4748983,35.1516878,833
128.4812941,35.1572587,595
128.4823521,35.1573839,1537
128.4807077,35.1558746,767
128.4752187,35.1517457,876
128.4751477,35.1511743,198
128.4786991,35.1549768,717
128.479708,35.1503749,1488
128.4789442,35.1534738,1980
128.4786331,35.1530609,1410
128.4793156,35.1531519,1915
128.4754512,35.151286,2268
128.4766464,35.1502142,221
128.4797547,35.1517661,2598
128.4763958,35.1488562,20
128.4806896,35.1474032,489
